city,location,area,no._of_bedrooms,price
hyderabad,Bandlaguda Jagir,1200,2.0,48.0
hyderabad,Bandlaguda Jagir,1200,2.0,48.0
hyderabad,Jubilee Hills,1670,3.0,125.0
hyderabad,Nanakramguda,2460,3.0,168.0
hyderabad,Saroornagar,1040,2.0,40.0
hyderabad,Beeramguda,1107,2.0,36.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Banjara Hills,2900,3.0,333.0
hyderabad,Hitech City,1150,2.0,86.25
hyderabad,Saroornagar,1040,2.0,40.0
hyderabad,Beeramguda,1107,2.0,36.0
hyderabad,Beeramguda,850,2.0,40.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Boduppal,1100,2.0,23.0
hyderabad,Boduppal,1100,2.0,23.0
hyderabad,Somajiguda,1745,3.0,120.0
hyderabad,Nagole,970,2.0,25.0
hyderabad,Kukatpally,1090,2.0,57.77
hyderabad,Kukatpally,1435,3.0,76.05
hyderabad,Beeramguda,684,1.0,26.0
hyderabad,Beeramguda,1040,2.0,45.0
hyderabad,Beeramguda,850,2.0,30.0
hyderabad,Beeramguda,1150,2.0,32.0
hyderabad,Neknampur,1605,3.0,70.0
hyderabad,Beeramguda,850,2.0,30.0
hyderabad,Beeramguda,1150,2.0,32.0
hyderabad,Neknampur,1605,3.0,70.0
hyderabad,Mallapur,1000,2.0,55.0
hyderabad,Kukatpally,1090,2.0,57.77
hyderabad,Kukatpally,1435,3.0,76.05
hyderabad,Nagole,1635,3.0,85.02
hyderabad,Nagole,1585,3.0,82.42
hyderabad,Ambedkar Nagar,1000,2.0,34.0
hyderabad,Gachibowli,1035,2.0,95.0
hyderabad,Hafeezpet,1000,2.0,50.0
hyderabad,Saroornagar,1260,2.0,47.88
hyderabad,Beeramguda,950,2.0,28.8
hyderabad,Gachibowli,850,2.0,55.0
hyderabad,Nanakramguda,1260,2.0,85.0
hyderabad,Saroornagar,1050,2.0,55.0
hyderabad,Bachupally,1250,2.0,44.0
hyderabad,Kondapur,1908,3.0,140.0
hyderabad,Gajularamaram,1555,3.0,69.31
hyderabad,Narsingi,1720,3.0,120.0
hyderabad,Rajendra Nagar,1327,3.0,75.4
hyderabad,Rajendra Nagar,1110,3.0,62.9
hyderabad,Rajendra Nagar,941,2.0,52.9
hyderabad,Boduppal,1200,2.0,55.8
hyderabad,Manikonda,1200,1.0,43.0
hyderabad,Vanasthalipuram,1390,3.0,55.6
hyderabad,Amberpet,540,1.0,24.0
hyderabad,Gachibowli,1717,2.0,125.0
hyderabad,Gachibowli,1717,2.0,125.0
hyderabad,Mehdipatnam,900,2.0,35.7
hyderabad,Bandlaguda Jagir,2150,3.0,126.0
hyderabad,Moula Ali,810,2.0,48.0
hyderabad,Bandlaguda Jagir,1985,3.0,116.0
hyderabad,Kondapur,1555,3.0,95.63
hyderabad,Moula Ali,810,2.0,48.0
hyderabad,Bandlaguda Jagir,1985,3.0,116.0
hyderabad,Kondapur,1555,3.0,95.63
hyderabad,Mehdipatnam,1050,2.0,36.0
hyderabad,Mallapur,1014,2.0,45.0
hyderabad,Kompally,1085,2.0,39.0
hyderabad,Kompally,1100,2.0,58.0
hyderabad,Nizampet,1050,2.0,35.0
hyderabad,Nizampet,1050,2.0,35.0
hyderabad,Kukatpally,1860,3.0,113.99999
hyderabad,Kukatpally,1860,3.0,113.99999
hyderabad,Banjara Hills,3000,3.0,350.0
hyderabad,Banjara Hills,3000,3.0,350.0
hyderabad,Nallagandla Gachibowli,955,2.0,45.0
hyderabad,Gandipet,1155,2.0,45.0
hyderabad,Nizampet,1120,2.0,35.0
hyderabad,Nizampet,850,2.0,35.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Narsingi,966,2.0,39.6
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Mehdipatnam,1050,2.0,41.0
hyderabad,Alwal,1575,3.0,55.0
hyderabad,Nacharam,1700,3.0,96.0
hyderabad,Nacharam,1700,3.0,96.0
hyderabad,Pragathi Nagar Kukatpally,1535,3.0,67.95
hyderabad,Nizampet,940,2.0,36.0
hyderabad,Nizampet,1060,2.0,34.0
hyderabad,Nizampet,1015,2.0,35.0
hyderabad,Nizampet,1015,2.0,35.0
hyderabad,Narsingi,1600,3.0,50.0
hyderabad,Kondapur,1150,2.0,70.0
hyderabad,Narsingi,1500,2.0,55.0
hyderabad,Nizampet,1000,2.0,38.7
hyderabad,Kompally,1208,2.0,58.0
hyderabad,Kondapur,1150,2.0,70.0
hyderabad,Narsingi,1500,2.0,55.0
hyderabad,Kukatpally,1700,3.0,112.99999
hyderabad,Masab Tank,1170,2.0,45.0
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Nizampet,1050,2.0,38.0
hyderabad,Malkajgiri,1425,3.0,48.5
hyderabad,Bolarum,1060,2.0,40.1
hyderabad,Bachupally,1130,2.0,35.5
hyderabad,Nizampet,930,2.0,33.0
hyderabad,Nizampet,1085,2.0,35.0
hyderabad,Nizampet,1120,2.0,46.0
hyderabad,Appa Junction,1506,2.0,85.0
hyderabad,Appa Junction,1506,2.0,85.0
hyderabad,Nagole,1650,3.0,55.0
hyderabad,Nagole,1650,3.0,55.0
hyderabad,Nizampet,1200,2.0,39.0
hyderabad,Alwal,1145,2.0,45.8
hyderabad,Kokapet,1875,3.0,108.0
hyderabad,Kokapet,2540,3.0,152.0
hyderabad,Kokapet,2630,4.0,152.0
hyderabad,Alwal,1145,2.0,45.8
hyderabad,Kondapur,2450,3.0,150.0
hyderabad,Alwal,1425,3.0,57.0
hyderabad,Mehdipatnam,1720,3.0,72.0
hyderabad,Nanakramguda,2405,3.0,200.0
hyderabad,Chandanagar,1725,3.0,87.97
hyderabad,Kukatpally,1730,3.0,105.0
hyderabad,Madhapur,4070,4.0,430.0
hyderabad,Miyapur,2000,3.0,100.0
hyderabad,Kondapur,1295,2.0,100.0
hyderabad,Kondapur,1490,3.0,120.0
hyderabad,Miyapur,1905,3.0,107.0
hyderabad,Miyapur,1905,3.0,107.0
hyderabad,Kondapur,1525,3.0,79.0
hyderabad,Manikonda,1120,2.0,49.0
hyderabad,Qutub Shahi Tombs,1080,3.0,38.0
hyderabad,Manikonda,2700,3.0,135.0
hyderabad,Narsingi,1755,3.0,100.0
hyderabad,Narsingi,1755,3.0,100.0
hyderabad,Puppalaguda,1216,2.0,62.0
hyderabad,Nallagandla Gachibowli,1210,2.0,70.0
hyderabad,Kondapur,1525,3.0,79.0
hyderabad,Puppalaguda,1340,2.0,67.0
hyderabad,Puppalaguda,1216,2.0,62.0
hyderabad,Chandanagar,1725,2.0,84.52
hyderabad,Banjara Hills,2070,3.0,200.0
hyderabad,Banjara Hills,3025,4.0,302.0
hyderabad,Jubilee Hills,1670,3.0,125.0
hyderabad,East Marredpally,1150,2.0,82.0
hyderabad,Kondapur,1150,2.0,69.0
hyderabad,Narsingi,1600,3.0,90.26
hyderabad,Narsingi,2786,3.0,182.0
hyderabad,Kondapur,1525,3.0,85.0
hyderabad,Gajularamaram,1555,3.0,65.31
hyderabad,Kondapur,1315,2.0,80.95
hyderabad,Kondapur,2050,3.0,140.0
hyderabad,Kukatpally,1675,3.0,102.0
hyderabad,Gandipet,1725,3.0,100.0
hyderabad,Kondapur,1770,3.0,107.0
hyderabad,Jubilee Hills,3200,3.0,240.0
hyderabad,Jubilee Hills,1900,3.0,220.0
hyderabad,Kondapur,1880,3.0,214.0
hyderabad,Kondapur,2050,3.0,160.0
hyderabad,Nanakramguda,3600,3.0,365.0
hyderabad,Gandipet,2665,3.0,150.0
hyderabad,Kukatpally,1216,2.0,85.0
hyderabad,Banjara Hills,3031,4.0,280.0
hyderabad,Kokapet,2220,3.0,155.0
hyderabad,Gachibowli,3448,3.0,325.0
hyderabad,Madhapur,3015,3.0,207.0
hyderabad,Gachibowli,1430,3.0,105.0
hyderabad,Abids,2007,5.0,280.0
hyderabad,Kukatpally,1695,3.0,103.0
hyderabad,Kondapur,1815,3.0,110.0
hyderabad,Kondapur,1630,3.0,99.91
hyderabad,Chandanagar,1620,3.0,80.14
hyderabad,Kistareddypet,1200,2.0,40.0
hyderabad,West Marredpally,1650,2.0,125.0
hyderabad,Kukatpally,1550,3.0,89.25
hyderabad,Kondapur,1535,3.0,92.96
hyderabad,Kondapur,1165,2.0,75.98999
hyderabad,Malkajgiri,1400,3.0,85.0
hyderabad,Somajiguda,2600,3.0,200.0
hyderabad,Miyapur,1100,2.0,52.5
hyderabad,Malkajgiri,1010,2.0,40.0
hyderabad,Kondapur,1195,2.0,75.0
hyderabad,Kukatpally,970,2.0,52.53
hyderabad,Kompally,1050,2.0,58.0
hyderabad,Alwal,1130,2.0,50.85
hyderabad,Bolarum,2300,3.0,120.0
hyderabad,Alwal,1015,2.0,35.0
hyderabad,Shaikpet,2960,4.0,255.0
hyderabad,Mallapur,1190,2.0,65.0
hyderabad,Mallapur,1190,2.0,60.0
hyderabad,Puppalaguda,1340,2.0,67.0
hyderabad,Shaikpet,1875,3.0,160.0
hyderabad,Jubilee Hills,1900,3.0,230.0
hyderabad,West Marredpally,1920,4.0,195.0
hyderabad,Alwal,1330,2.0,53.2
hyderabad,Hitech City,2350,3.0,195.0
hyderabad,Pragathi Nagar Kukatpally,1120,2.0,48.0
hyderabad,Madhapur,1924,3.0,130.0
hyderabad,Sri Nagar Colony,1575,3.0,102.0
hyderabad,Hitech City,2350,3.0,195.0
hyderabad,Dilsukh Nagar,3000,4.0,200.0
hyderabad,Quthbullapur,1350,3.0,59.0
hyderabad,Puppalaguda,1580,3.0,85.0
hyderabad,Malkajgiri,1200,2.0,60.0
hyderabad,Gajularamaram,1050,2.0,47.1
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Kukatpally,1730,3.0,113.99999
hyderabad,Kondapur,1535,3.0,94.49
hyderabad,Kukatpally,1700,3.0,112.99999
hyderabad,Alwal,1050,2.0,40.0
hyderabad,Alwal,1300,2.0,54.5
hyderabad,Kondapur,1770,3.0,106.0
hyderabad,Alwal,1050,2.0,40.0
hyderabad,Alwal,1300,2.0,54.5
hyderabad,Kondapur,1770,3.0,106.0
hyderabad,Kompally,1430,3.0,75.0
hyderabad,Kukatpally,1800,3.0,124.0
hyderabad,Alwal,1530,3.0,78.0
hyderabad,Miyapur,1000,2.0,48.0
hyderabad,Kukatpally,1905,3.0,95.25
hyderabad,Kondapur,1885,3.0,122.0
hyderabad,Kondapur,1885,3.0,123.0
hyderabad,Kondapur,1885,3.0,123.0
hyderabad,Moosapet,1560,3.0,88.0
hyderabad,Hafeezpet,1190,2.0,67.98999
hyderabad,Kukatpally,1450,3.0,93.0
hyderabad,Kukatpally,1450,3.0,93.0
hyderabad,Gajularamaram,1050,2.0,47.1
hyderabad,Kondapur,1875,3.0,120.0
hyderabad,Gajularamaram,1555,3.0,69.31
hyderabad,Sainikpuri,900,2.0,34.99
hyderabad,Puppalaguda,1418,3.0,71.0
hyderabad,Puppalaguda,1418,3.0,71.0
hyderabad,Nizampet,1125,2.0,48.0
hyderabad,Nizampet,1515,3.0,55.0
hyderabad,Serilingampally,1600,3.0,75.0
hyderabad,Serilingampally,1260,2.0,56.0
hyderabad,Gachibowli,2848,4.0,194.0
hyderabad,Gachibowli,1492,2.0,99.08
hyderabad,Gachibowli,1283,2.0,81.26
hyderabad,Gachibowli,1410,2.0,91.1
hyderabad,Kondapur,2000,3.0,140.0
hyderabad,Manikonda,1463,3.0,70.0
hyderabad,Kukatpally,1730,3.0,113.99999
hyderabad,Kondapur,1600,3.0,85.0
hyderabad,Manikonda,2600,3.0,170.0
hyderabad,West Marredpally,840,1.0,25.0
hyderabad,Manikonda,1725,3.0,86.0
hyderabad,Banjara Hills,1980,3.0,178.0
hyderabad,Banjara Hills,2085,3.0,187.0
hyderabad,Banjara Hills,2580,3.0,232.0
hyderabad,Banjara Hills,2185,3.0,196.0
hyderabad,Banjara Hills,1920,3.0,172.0
hyderabad,Banjara Hills,2210,3.0,198.0
hyderabad,Qutub Shahi Tombs,1111,3.0,45.0
hyderabad,Nizampet,1161,2.0,40.31
hyderabad,Sainikpuri,1500,3.0,63.99
hyderabad,Sainikpuri,1500,3.0,63.99
hyderabad,Puppalaguda,2021,2.0,80.0
hyderabad,Manikonda,1300,3.0,52.0
hyderabad,Malkajgiri,1000,2.0,40.0
hyderabad,East Marredpally,1060,2.0,72.0
hyderabad,Kukatpally,9400,8.0,800.0
hyderabad,Nizampet,950,2.0,32.0
hyderabad,Kapra,1350,3.0,38.0
hyderabad,Nagole,1600,3.0,60.0
hyderabad,Nacharam,1000,2.0,35.0
hyderabad,Nacharam,1450,3.0,50.0
hyderabad,Kapra,1050,2.0,28.0
hyderabad,Mallapur,1150,2.0,36.0
hyderabad,Mallapur,1900,3.0,80.0
hyderabad,Nizampet,1465,3.0,50.34
hyderabad,Nizampet,1228,2.0,42.52
hyderabad,Nizampet,1165,2.0,40.44
hyderabad,Nizampet,1106,2.0,38.49
hyderabad,Mallapur,1315,3.0,35.0
hyderabad,West Marredpally,3200,3.0,200.0
hyderabad,Nacharam,1250,3.0,48.0
hyderabad,Mallapur,1900,2.0,80.0
hyderabad,Beeramguda,1096,2.0,38.0
hyderabad,Habsiguda,1765,3.0,135.0
hyderabad,Puppalaguda,2021,2.0,80.0
hyderabad,KTR Colony,1005,2.0,27.0
hyderabad,Mallapur,1750,3.0,60.0
hyderabad,Nizampet,1100,2.0,37.4
hyderabad,Nizampet,1100,2.0,37.4
hyderabad,Nizampet,1200,2.0,52.8
hyderabad,Nizampet,1160,2.0,51.0
hyderabad,Nizampet,1060,2.0,55.0
hyderabad,AS Rao Nagar,1506,3.0,60.0
hyderabad,Nizampet,1165,2.0,45.0
hyderabad,Tarnaka,1471,3.0,65.0
hyderabad,West Marredpally,3200,3.0,200.0
hyderabad,Nagole,1350,3.0,45.0
hyderabad,Malkajgiri,1850,3.0,101.0
hyderabad,Mallapur,1600,2.0,55.0
hyderabad,Nacharam,1250,3.0,48.0
hyderabad,Mallapur,1900,2.0,80.0
hyderabad,Mallapur,1150,2.0,38.0
hyderabad,West Marredpally,1700,3.0,80.0
hyderabad,Habsiguda,1765,3.0,135.0
hyderabad,Mallampet,1050,1.0,30.0
hyderabad,Nizampet,1050,2.0,32.0
hyderabad,Mallapur,1750,3.0,60.0
hyderabad,Nizampet,1150,2.0,34.0
hyderabad,East Marredpally,990,2.0,70.0
hyderabad,Nagole,1150,2.0,50.0
hyderabad,Banjara Hills,2400,3.0,220.0
hyderabad,Nizampet,1200,2.0,52.8
hyderabad,Nizampet,1060,2.0,55.0
hyderabad,Nizampet,1160,2.0,51.0
hyderabad,Nizampet,1165,2.0,45.0
hyderabad,Manikonda,1278,2.0,60.0
hyderabad,Puppalaguda,2021,2.0,80.0
hyderabad,Habsiguda,1765,3.0,135.0
hyderabad,Puppalaguda,2021,2.0,80.0
hyderabad,KTR Colony,1005,2.0,27.0
hyderabad,Gachibowli,3180,3.0,340.0
hyderabad,Kondapur,3180,3.0,340.0
hyderabad,Nizampet,1000,2.0,33.0
hyderabad,East Marredpally,987,2.0,69.0
hyderabad,West Marredpally,1075,2.0,32.0
hyderabad,Kukatpally,600,1.0,20.0
hyderabad,Habsiguda,1400,3.0,70.0
hyderabad,Puppalaguda,1300,3.0,46.0
hyderabad,Puppalaguda,1300,3.0,46.0
hyderabad,Manikonda,1490,3.0,70.0
hyderabad,East Marredpally,1275,2.0,85.99
hyderabad,Beeramguda,1096,2.0,38.0
hyderabad,Nizampet,1100,2.0,37.4
hyderabad,Mallapur,1000,2.0,35.0
hyderabad,Nizampet,1050,2.0,35.7
hyderabad,Nizampet,1100,2.0,37.4
hyderabad,Nizampet,1100,2.0,37.4
hyderabad,Bollaram,1450,3.0,33.0
hyderabad,Miyapur,1265,2.0,90.75
hyderabad,Miyapur,1945,3.0,101.0
hyderabad,Kukatpally,1435,3.0,79.62
hyderabad,Miyapur,1925,3.0,127.0
hyderabad,Miyapur,1265,2.0,90.75
hyderabad,Kukatpally,1905,3.0,107.0
hyderabad,Kukatpally,1090,2.0,61.68
hyderabad,Kukatpally,1230,2.0,68.95999
hyderabad,Kukatpally,1920,3.0,107.0
hyderabad,Miyapur,1905,3.0,107.0
hyderabad,Kukatpally,1170,1.0,62.33
hyderabad,Appa Junction,1385,2.0,88.0
hyderabad,Appa Junction,1390,2.0,89.98
hyderabad,Appa Junction,1282,2.0,79.98999
hyderabad,Gajularamaram,1020,1.0,42.84
hyderabad,Aminpur,1935,3.0,100.0
hyderabad,Kukatpally,1090,2.0,70.98999
hyderabad,Kondapur,1630,3.0,98.28
hyderabad,Kukatpally,1695,3.0,109.0
hyderabad,Appa Junction,1282,2.0,79.98999
hyderabad,Appa Junction,1390,2.0,89.98
hyderabad,Appa Junction,1385,2.0,88.0
hyderabad,Appa Junction,1385,2.0,88.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Moosapet,1700,2.0,109.0
hyderabad,Moosapet,1730,2.0,111.0
hyderabad,Kukatpally,1700,3.0,109.0
hyderabad,Gajularamaram,1050,2.0,46.0
hyderabad,Karmanghat,2400,4.0,150.0
hyderabad,Miyapur,1214,2.0,55.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Kukatpally,1840,3.0,118.0
hyderabad,Kokapet,2115,3.0,105.0
hyderabad,Kukatpally,1695,3.0,112.0
hyderabad,Mallampet,1125,1.0,33.75
hyderabad,Uppal,1170,2.0,55.0
hyderabad,Miyapur,1200,2.0,42.0
hyderabad,LB Nagar,902,2.0,47.0
hyderabad,Kukatpally,1695,3.0,106.0
hyderabad,Kondapur,1200,2.0,65.0
hyderabad,Narsingi,1490,3.0,81.0
hyderabad,Manikonda,1130,2.0,45.0
hyderabad,Puppalaguda,1480,3.0,89.0
hyderabad,Gajularamaram,1050,2.0,47.1
hyderabad,Miyapur,1925,3.0,127.0
hyderabad,Kondapur,1525,3.0,87.0
hyderabad,Cherlapalli,1523,2.0,63.0
hyderabad,Sainikpuri,1200,3.0,67.0
hyderabad,Hitech City,3233,4.0,450.0
hyderabad,Mallampet,1620,3.0,50.0
hyderabad,Kachiguda,1500,1.0,100.0
hyderabad,Manikonda,1650,3.0,75.0
hyderabad,Jubilee Hills,1908,3.0,150.0
hyderabad,Manikonda,1130,2.0,45.0
hyderabad,Puppalaguda,1480,3.0,89.0
hyderabad,Gajularamaram,1050,2.0,47.1
hyderabad,Tarnaka,1548,3.0,85.0
hyderabad,Tarnaka,1725,3.0,54.99
hyderabad,Tarnaka,1500,2.0,75.0
hyderabad,Puppalaguda,1430,2.0,85.0
hyderabad,Miyapur,1294,2.0,38.28
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Beeramguda,1085,2.0,35.0
hyderabad,Attapur,1480,3.0,65.0
hyderabad,Miyapur,1920,3.0,107.0
hyderabad,Miyapur,1190,2.0,85.73
hyderabad,Beeramguda,1080,2.0,36.0
hyderabad,Gajularamaram,1465,3.0,63.0
hyderabad,Miyapur,1190,2.0,85.73
hyderabad,Gajularamaram,1050,2.0,46.0
hyderabad,Tellapur,1538,3.0,82.98999
hyderabad,Tellapur,1678,3.0,88.0
hyderabad,Tellapur,1678,3.0,88.0
hyderabad,Beeramguda,1080,2.0,36.0
hyderabad,Beeramguda,1080,2.0,36.0
hyderabad,Kukatpally,1695,3.0,112.0
hyderabad,Himayat Nagar,1700,3.0,135.0
hyderabad,Kachiguda,1500,1.0,100.0
hyderabad,Manikonda,1650,3.0,75.0
hyderabad,Miyapur,1920,3.0,107.0
hyderabad,Miyapur,1190,2.0,85.73
hyderabad,Manikonda,1130,2.0,45.0
hyderabad,Puppalaguda,1480,3.0,89.0
hyderabad,Puppalaguda,2000,3.0,100.0
hyderabad,Gajularamaram,1050,2.0,47.1
hyderabad,Uppal,1170,2.0,55.0
hyderabad,Tarnaka,1548,3.0,85.0
hyderabad,Tarnaka,1725,3.0,54.99
hyderabad,Tarnaka,1500,2.0,75.0
hyderabad,Puppalaguda,1430,2.0,85.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Beeramguda,1085,2.0,35.0
hyderabad,Attapur,1480,3.0,65.0
hyderabad,Kondapur,1525,2.0,85.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Kukatpally,1730,3.0,113.99999
hyderabad,Attapur,1361,3.0,65.0
hyderabad,Miyapur,1265,2.0,90.75
hyderabad,Gajularamaram,1555,3.0,66.0
hyderabad,Kondapur,1200,2.0,65.0
hyderabad,Kondapur,1681,3.0,102.0
hyderabad,Kondapur,1250,2.0,75.0
hyderabad,Gajularamaram,1050,2.0,45.0
hyderabad,Shaikpet,1700,3.0,110.0
hyderabad,Gajularamaram,1555,3.0,66.0
hyderabad,Rhoda Mistri Nagar,1170,2.0,62.33
hyderabad,Mallampet,1620,3.0,50.0
hyderabad,Miyapur,607,1.0,30.0
hyderabad,Gachibowli,990,1.0,80.0
hyderabad,Uppal,1565,3.0,62.0
hyderabad,Habsiguda,1630,3.0,110.0
hyderabad,Bandlaguda Jagir,1100,2.0,37.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Uppal,682,1.0,27.0
hyderabad,Tarnaka,1245,2.0,74.98999
hyderabad,Kondapur,1500,3.0,85.0
hyderabad,Nallakunta,900,2.0,30.0
hyderabad,Zamistanpur,1320,3.0,68.0
hyderabad,Zamistanpur,1530,3.0,75.0
hyderabad,Kukatpally,1190,2.0,85.73
hyderabad,Kukatpally,1695,3.0,106.0
hyderabad,Kondapur,1200,2.0,65.0
hyderabad,Beeramguda,1080,2.0,35.0
